NTCIR_200000	utilization ratio bus car graph
NTCIR_200001	cost of raising beef cattle
NTCIR_200002	how many amusement parks us
NTCIR_200003	mining manufacturing industries state
NTCIR_200004	elderly medical expenses vs total
NTCIR_200005	vacant houses us
NTCIR_200006	united states births and deaths per second
NTCIR_200007	average precipitation 2005
NTCIR_200008	number greenhouses region united states
NTCIR_200009	house rent statistics new york by decade
NTCIR_200010	elementary junior high school students united states
NTCIR_200011	japanese population united states
NTCIR_200012	employees by occupation
NTCIR_200013	number of americans in prison
NTCIR_200014	average utility expenses
NTCIR_200015	past price levels
NTCIR_200016	many restaurants ny
NTCIR_200017	students start own business
NTCIR_200018	percentage of smokers in usa
NTCIR_200019	fish largest catch us
NTCIR_200020	snow in the usa in april
NTCIR_200021	american protein intake daily
NTCIR_200022	changes in dietary contents
NTCIR_200023	risk traffic death cyclists vs riders
NTCIR_200024	united states rivers swamps ponds wetlands number
NTCIR_200025	us unmarried people increasing
NTCIR_200026	us populous generation
NTCIR_200027	city population 300,000
NTCIR_200028	common cause death
NTCIR_200029	year most children born
NTCIR_200030	sales agriculture region
NTCIR_200031	road length over the years
NTCIR_200032	recent gender birth rate in us
NTCIR_200033	male survival rate 20 years old
NTCIR_200034	salary difference regular associate nurses
NTCIR_200035	many people second house
NTCIR_200036	us tv penetration rate
NTCIR_200037	us imports and exports
NTCIR_200038	company workers car public transportation popularity
NTCIR_200039	rivers flooding united states
NTCIR_200040	cause of death trauma patients
NTCIR_200041	domestic self salt rate
NTCIR_200042	average savings amount
NTCIR_200043	children die united states year
NTCIR_200044	power demand by us state
NTCIR_200045	municipalities area and population
NTCIR_200046	average income by state
NTCIR_200047	percentage of americans in architecture
NTCIR_200048	us rural population
NTCIR_200049	people live in own house or rent house
NTCIR_200050	houses demolished per day in us
NTCIR_200051	agriculture industry services share us gdp
NTCIR_200052	statistics dual income households
NTCIR_200053	university research budget changes
NTCIR_200054	enrollment rate public private universities
NTCIR_200055	total number teachers recent data trend us
NTCIR_200056	state largest area fields and rice fields us
NTCIR_200057	apples and cherries stats present and past
NTCIR_200058	municipalities without libraries
NTCIR_200059	percentage college graduates us
NTCIR_200060	average daily garbage per person
NTCIR_200061	museums aquariums visitors growth
NTCIR_200062	births by month
NTCIR_200063	monthly food cost family of three
NTCIR_200064	number stock companies us
NTCIR_200065	metropolitan office workers average commute time
NTCIR_200066	oysters dislike east coast
NTCIR_200067	primary secondary tertiary industries gross
NTCIR_200068	science students increasing humanities students decreasing data
NTCIR_100000	salary 32 year old women
NTCIR_100001	four year college enrollment rate new york united states
NTCIR_100002	university enrollment rate us
NTCIR_100003	college graduate salary
NTCIR_100004	small college average number students
NTCIR_100005	acre price farmland
NTCIR_100006	annual municipality budgets
NTCIR_100007	annual budget us states
NTCIR_100008	average retirement allowance companies
NTCIR_100009	food self sufficiency milk us
NTCIR_100010	population distribution depression patients
NTCIR_100011	people employment education anti-socials unemployed us
NTCIR_100012	percentage americans married
NTCIR_100013	divorce rate united states
NTCIR_100014	percentage hills mountains plateaus flatlands inland waters alaska
NTCIR_100015	job offers effective rate by us state
NTCIR_100016	food self sufficiency us
NTCIR_100017	alaska municipality ranking
NTCIR_100018	number of factories us
NTCIR_100019	number us companies employees
NTCIR_100020	percentage american civil servants
NTCIR_100021	cram school rates by school year
